Finished training LDA model.
Summary:
==========

10 topics:

### Topic 1

| Term | Weight |
| -------- | -------- |
| little | 0.0208177 |
| fucking | 0.0137161 |
| am | 0.0129836 |
| just | 0.0108079 |
| more | 0.0092564 |
| 2 | 0.0081748 |
| again | 0.0078695 |
| class="emojiinput | 0.0073129 |
| now | 0.0071332 |
| only | 0.0070128 |
| you’re | 0.0069078 |
| here | 0.0064923 |
| call | 0.0062174 |
| want | 0.0059603 |
| u | 0.0058648 |
| fuck | 0.0056452 |
| if | 0.0055312 |
| random | 0.0052172 |
| im | 0.0051749 |
| 💀 | 0.0049485 |
| -------- | -------- |

### Topic 2

| Term | Weight |
| -------- | -------- |
| so | 0.0551584 |
| right | 0.0504195 |
| 💯 | 0.0425053 |
| thats | 0.0395492 |
| shit | 0.0342292 |
| 👀 | 0.0332878 |
| what | 0.0282756 |
| do | 0.0262445 |
| im | 0.0256718 |
| (chorus | 0.0216532 |
| 👌 | 0.0189597 |
| talking | 0.0185685 |
| ᵗʰᵉʳᵉ) | 0.0173624 |
| ʳᶦᵍʰᵗ | 0.0171085 |
| 👌👌 | 0.0144799 |
| ƽaү | 0.0139567 |
| ✔ | 0.0129085 |
| self | 0.0125743 |
| 🎃 | 0.0104517 |
| right✔there | 0.0098314 |
| -------- | -------- |

### Topic 3

| Term | Weight |
| -------- | -------- |
| yhu | 0.0097553 |
| fucking | 0.0092506 |
| want | 0.0082679 |
| i'm | 0.0058171 |
| real | 0.0052429 |
| 🇨🇦 | 0.0050944 |
| u | 0.0050130 |
| 😘 | 0.0047022 |
| very | 0.0044634 |
| get | 0.0043656 |
| damn | 0.0043033 |
| show | 0.0042890 |
| even | 0.0042505 |
| so | 0.0040314 |
| always | 0.0039322 |
| only | 0.0037907 |
| n | 0.0037702 |
| man | 0.0036653 |
| don't | 0.0036372 |
| gay | 0.0035244 |
| -------- | -------- |

### Topic 4

| Term | Weight |
| -------- | -------- |
| daddy | 0.0158644 |
| make | 0.0146265 |
| get | 0.0073315 |
| oh | 0.0065730 |
| help | 0.0065464 |
| skinner👨 | 0.0059703 |
| 🔨 | 0.0053413 |
| send | 0.0053402 |
| build | 0.0053078 |
| chalmers👴 | 0.0047845 |
| 🙋 | 0.0044183 |
| that's | 0.0040988 |
| friends | 0.0040749 |
| trump | 0.0038819 |
| cause | 0.0036240 |
|   | 0.0034571 |
