
5 topics:

### Topic 1

| Term | Weight |
| -------- | -------- |
| got | 0.0119146 |
| just | 0.0113571 |
| so | 0.0111730 |
| ass | 0.0107972 |
| know | 0.0085145 |
| i'm | 0.0083978 |
| don't | 0.0083047 |
| dick | 0.0075852 |
| 😐 | 0.0073786 |
| if | 0.0060738 |
| feel | 0.0059399 |
| nigga | 0.0056480 |
| makes | 0.0054674 |
| put | 0.0044628 |
| 😢 | 0.0043467 |
| ya | 0.0042782 |
| i've | 0.0042587 |
| how | 0.0042444 |
| real | 0.0040592 |
| help | 0.0036697 |
| -------- | -------- |

### Topic 2

| Term | Weight |
| -------- | -------- |
| u | 0.0290322 |
| ur | 0.0125547 |
| get | 0.0093582 |
| fucking | 0.0065129 |
| if | 0.0047408 |
| — | 0.0045736 |
| day | 0.0042242 |
| dat | 0.0036287 |
| god | 0.0029269 |
| da | 0.0027028 |
| year | 0.0026377 |
| new | 0.0025306 |
| 💦 | 0.0024396 |
| 🍆 | 0.0024159 |
| 😏 | 0.0023106 |
| hoes | 0.0022674 |
| 🙌 | 0.0021954 |
| n | 0.0021165 |
| damn | 0.0020945 |
| night | 0.0020718 |
| -------- | -------- |

### Topic 3

| Term | Weight |
| -------- | -------- |
| you're | 0.0090687 |
| get | 0.0086120 |
| what | 0.0067470 |
| it's | 0.0067151 |
| e | 0.0066337 |
| send | 0.0060299 |
| am | 0.0056422 |
| i'm | 0.0049375 |
| gonna | 0.0040527 |
| now | 0.0036641 |
| oh | 0.0035337 |
| n | 0.0034838 |
| happy | 0.0034773 |
| ready | 0.0033329 |
| every | 0.0031795 |
| god | 0.0031565 |
| know | 0.0030386 |
| stayin' | 0.0029662 |
| time | 0.0029636 |
| skinner👨 | 0.0029620 |
| -------- | -------- |

### Topic 4

| Term | Weight |
| -------- | -------- |
| so | 0.0338434 |
| right | 0.0328482 |
| 💯 | 0.0263228 |
| thats | 0.0234001 |
| shit | 0.0219140 |
| 👀 | 0.0214349 |
| what | 0.0189644 |
| im | 0.0173595 |
| do | 0.0165343 |
| (chorus | 0.0134667 |
| 👌 | 0.0122096 |
| talking | 0.0119049 |
| ʳᶦᵍʰᵗ | 0.0111562 |
| ᵗʰᵉʳᵉ) | 0.0111558 |
| 👌👌 | 0.0096478 |
| ƽaү | 0.0089133 |
| if | 0.0086296 |
| good | 0.0081911 |
| get | 0.0076807 |
| ✔ | 0.0073437 |
| -------- | -------- |

### Topic 5

| Term | Weight |
| -------- | -------- |
| get | 0.0289886 |
| back | 0.0283487 |
| if | 0.0169905 |
| complete | 0.0091011 |
| send | 0.0089200 |
| never | 0.0084154 |
| little | 0.0082442 |
| 5 | 0.0053155 |
| again | 0.0048929 |
| daddy | 0.0048115 |
| just | 0.0048018 |
| only | 0.0045669 |
| give | 0.0045149 |
| you're | 0.0044937 |
| fucking | 0.0042064 |
| make | 0.0041871 |
| more | 0.0041161 |
| am | 0.0039758 |
| you’re | 0.0039356 |
| good | 0.0038518 |
| -------- | -------- |

